SpeakerID,Filename,SNR_dB
4d13g,4d13g_EN-OL-RC-426_1.wav,9.23
3a12e,3a12e_EN-OL-RC-234_2.wav,63.95
5b21g,5b21g_EN-OL-RC-538_2.wav,26.66
5a21b,5a21b_EN-OL-RC-538_1.wav,12.68
3d41g,3d41g_EN-OL-RC-234_2.wav,11.0
3d41g,3d41g_EN-OL-RC-234_1.wav,9.82
4b7b,4b7b_EN-OL-RC-426_1.wav,13.66
4b7b,4b7b_EN-OL-RC-426_2.wav,13.16
5c18g,5c18g_EN-OL-RC-538_2.wav,7.36
5a1f,5a1f_EN-OL-RC-538_1.wav,15.21
5a1f,5a1f_EN-OL-RC-538_2.wav,17.82
4b18g,4b18g_EN-OL-RC-426_2.wav,22.13
4b18g,4b18g_EN-OL-RC-426_1.wav,22.03
3d17g,3d17g_EN-OL-RC-234_2.wav,21.51
3d17g,3d17g_EN-OL-RC-234_1.wav,22.08
3d27g,3d27g_EN-OL-RC-234_2.wav,16.84
3a3f,3a3f_EN-OL-RC-234_1.wav,25.18
5a40c,5a40c_EN-OL-RC-538_2.wav,21.26
3a42c,3a42c_EN-OL-RC-234_1.wav,11.11
5b26h,5b26h_EN-OL-RC-538_2.wav,13.25
4a19k,4a19k_EN-OL-RC-426_1.wav,13.96
5a10c,5a10c_EN-OL-RC-538_1.wav,41.07
4d7c,4d7c_EN-OL-RC-426_2.wav,7.93
4d7c,4d7c_EN-OL-RC-426_1.wav,7.24
5a32h,5a32h_EN-OL-RC-538_2.wav,22.62
5a32h,5a32h_EN-OL-RC-538_1.wav,20.52
5a36a,5a36a_EN-OL-RC-538_1.wav,14.43
5a36a,5a36a_EN-OL-RC-538_2.wav,17.0
4d25c,4d25c_EN-OL-RC-426_1.wav,7.13
5b30k,5b30k_EN-OL-RC-538_1.wav,12.72
4a35g,4a35g_EN-OL-RC-426_2.wav,19.09
4a35g,4a35g_EN-OL-RC-426_1.wav,17.31
3d39g,3d39g_EN-OL-RC-234_2.wav,13.43
5b33g,5b33g_EN-OL-RC-538_2.wav,16.51
5b33g,5b33g_EN-OL-RC-538_1.wav,8.51
5c47a,5c47a_EN-OL-RC-538_1.wav,25.3
5b11k,5b11k_EN-OL-RC-538_2.wav,13.29
5b11k,5b11k_EN-OL-RC-538_1.wav,13.81
4a40k,4a40k_EN-OL-RC-426_2.wav,15.4
5a50c,5a50c_EN-OL-RC-538_1.wav,28.94
5a50c,5a50c_EN-OL-RC-538_2.wav,21.24
5d21g,5d21g_EN-OL-RC-538_1.wav,10.92
3c47c,3c47c_EN-OL-RC-234_2.wav,6.92
5b4b,5b4b_EN-OL-RC-538_2.wav,43.58
5b4b,5b4b_EN-OL-RC-538_1.wav,36.51
3c42g,3c42g_EN-OL-RC-234_1.wav,16.49
3a43g,3a43g_EN-OL-RC-234_1.wav,17.24
5c7g,5c7g_EN-OL-RC-538_1.wav,17.84
5c7g,5c7g_EN-OL-RC-538_2.wav,9.39
3b8c,3b8c_EN-OL-RC-234_1.wav,6.61
5c44c,5c44c_EN-OL-RC-538_1.wav,37.06
5c44c,5c44c_EN-OL-RC-538_2.wav,55.62
4a25f,4a25f_EN-OL-RC-426_2.wav,21.61
4a25f,4a25f_EN-OL-RC-426_1.wav,21.18
3a44g,3a44g_EN-OL-RC-234_1.wav,10.62
4c16g,4c16g_EN-OL-RC-426_1.wav,14.46
4c16g,4c16g_EN-OL-RC-426_2.wav,17.18
3a49g,3a49g_EN-OL-RC-234_1.wav,13.82
5b50c,5b50c_EN-OL-RC-538_2.wav,21.1
5b50c,5b50c_EN-OL-RC-538_1.wav,16.38
4a11g,4a11g_EN-OL-RC-426_1.wav,18.94
3b43g,3b43g_EN-OL-RC-234_2.wav,24.47
3b43g,3b43g_EN-OL-RC-234_1.wav,21.24
5b14g,5b14g_EN-OL-RC-538_1.wav,11.72
5a1a,5a1a_EN-OL-RC-538_1.wav,24.04
5a1a,5a1a_EN-OL-RC-538_2.wav,27.5
3d20g,3d20g_EN-OL-RC-234_2.wav,16.5
3d20g,3d20g_EN-OL-RC-234_1.wav,15.26
5d35g,5d35g_EN-OL-RC-538_2.wav,14.7
4b18k,4b18k_EN-OL-RC-426_2.wav,17.34
4b18k,4b18k_EN-OL-RC-426_1.wav,14.71
4b17g,4b17g_EN-OL-RC-426_1.wav,35.44
5b20f,5b20f_EN-OL-RC-538_1.wav,28.16
3c39b,3c39b_EN-OL-RC-234_2.wav,12.04
3b27c,3b27c_EN-OL-RC-234_1.wav,20.43
5b34f,5b34f_EN-OL-RC-538_1.wav,15.31
5b34f,5b34f_EN-OL-RC-538_2.wav,19.28
4a28a,4a28a_EN-OL-RC-426_2.wav,32.73
5b18a,5b18a_EN-OL-RC-538_2.wav,15.64
3a18c,3a18c_EN-OL-RC-234_2.wav,25.71
4b36c,4b36c_EN-OL-RC-426_2.wav,12.06
4a47k,4a47k_EN-OL-RC-426_2.wav,15.92
3b18g,3b18g_EN-OL-RC-234_1.wav,6.38
5a26g,5a26g_EN-OL-RC-538_1.wav,13.06
5c22b,5c22b_EN-OL-RC-538_2.wav,36.61
5c22b,5c22b_EN-OL-RC-538_1.wav,25.66
5b39g,5b39g_EN-OL-RC-538_1.wav,23.8
5a36d,5a36d_EN-OL-RC-538_1.wav,100.0
3b30b,3b30b_EN-OL-RC-234_2.wav,63.73
5a19a,5a19a_EN-OL-RC-538_1.wav,17.89
5a19a,5a19a_EN-OL-RC-538_2.wav,17.16
5b41g,5b41g_EN-OL-RC-538_1.wav,21.88
4a17a,4a17a_EN-OL-RC-426_1.wav,27.25
4a17a,4a17a_EN-OL-RC-426_2.wav,26.63
5b41f,5b41f_EN-OL-RC-538_2.wav,65.82
4b21k,4b21k_EN-OL-RC-426_1.wav,17.2
5c3b,5c3b_EN-OL-RC-538_1.wav,44.37
5a35d,5a35d_EN-OL-RC-538_2.wav,98.89
5c23c,5c23c_EN-OL-RC-538_2.wav,58.92
5c23c,5c23c_EN-OL-RC-538_1.wav,35.7
5a33k,5a33k_EN-OL-RC-538_2.wav,98.49
5b32h,5b32h_EN-OL-RC-538_1.wav,7.94
5b32h,5b32h_EN-OL-RC-538_2.wav,9.04
5d47c,5d47c_EN-OL-RC-538_1.wav,34.02
4c12b,4c12b_EN-OL-RC-426_2.wav,28.46
4c12b,4c12b_EN-OL-RC-426_1.wav,25.13
5b33c,5b33c_EN-OL-RC-538_2.wav,15.74
5b33c,5b33c_EN-OL-RC-538_1.wav,14.48
5c1c,5c1c_EN-OL-RC-538_2.wav,74.67
5c1c,5c1c_EN-OL-RC-538_1.wav,79.61
5c8c,5c8c_EN-OL-RC-538_1.wav,39.24
5a54f,5a54f_EN-OL-RC-538_2.wav,15.23
5a54f,5a54f_EN-OL-RC-538_1.wav,12.71
4d50g,4d50g_EN-OL-RC-426_2.wav,7.05
5a63j,5a63j_EN-OL-RC-538_1.wav,20.17
5b2f,5b2f_EN-OL-RC-538_2.wav,27.21
5d6c,5d6c_EN-OL-RC-538_2.wav,23.74
3a23c,3a23c_EN-OL-RC-234_1.wav,13.11
3a23c,3a23c_EN-OL-RC-234_2.wav,13.05
5a40b,5a40b_EN-OL-RC-538_2.wav,16.31
5a40b,5a40b_EN-OL-RC-538_1.wav,13.88
3b12c,3b12c_EN-OL-RC-234_2.wav,13.28
5b26f,5b26f_EN-OL-RC-538_1.wav,24.7
3d40c,3d40c_EN-OL-RC-234_2.wav,8.24
3d40c,3d40c_EN-OL-RC-234_1.wav,7.38
4a52g,4a52g_EN-OL-RC-426_1.wav,23.74
4d5g,4d5g_EN-OL-RC-426_2.wav,5.58
4d5g,4d5g_EN-OL-RC-426_1.wav,4.5
3b20g,3b20g_EN-OL-RC-234_2.wav,9.87
3b20g,3b20g_EN-OL-RC-234_1.wav,16.3
4d30c,4d30c_EN-OL-RC-426_2.wav,2.95
4d30c,4d30c_EN-OL-RC-426_1.wav,3.4
3d42g,3d42g_EN-OL-RC-234_1.wav,13.97
3d42g,3d42g_EN-OL-RC-234_2.wav,14.86
4b7g,4b7g_EN-OL-RC-426_1.wav,23.35
4b7g,4b7g_EN-OL-RC-426_2.wav,23.33
5a53f,5a53f_EN-OL-RC-538_1.wav,12.58
5b26k,5b26k_EN-OL-RC-538_2.wav,11.33
5b26k,5b26k_EN-OL-RC-538_1.wav,10.28
3b41a,3b41a_EN-OL-RC-234_2.wav,11.72
3b41a,3b41a_EN-OL-RC-234_1.wav,10.25
4a37f,4a37f_EN-OL-RC-426_1.wav,25.71
4a37f,4a37f_EN-OL-RC-426_2.wav,33.54
5a46g,5a46g_EN-OL-RC-538_2.wav,11.87
5a46g,5a46g_EN-OL-RC-538_1.wav,13.34
3d48g,3d48g_EN-OL-RC-234_1.wav,13.96
3d48g,3d48g_EN-OL-RC-234_2.wav,21.58
5a34c,5a34c_EN-OL-RC-538_1.wav,67.69
5a34c,5a34c_EN-OL-RC-538_2.wav,65.42
3c3a,3c3a_EN-OL-RC-234_2.wav,4.07
3c3a,3c3a_EN-OL-RC-234_1.wav,8.94
5b32k,5b32k_EN-OL-RC-538_2.wav,13.41
5b2c,5b2c_EN-OL-RC-538_2.wav,15.78
5b2c,5b2c_EN-OL-RC-538_1.wav,14.86
5a17g,5a17g_EN-OL-RC-538_1.wav,19.0
4a26a,4a26a_EN-OL-RC-426_2.wav,33.09
3a4h,3a4h_EN-OL-RC-234_1.wav,19.31
3a4h,3a4h_EN-OL-RC-234_2.wav,22.33
4b27g,4b27g_EN-OL-RC-426_1.wav,19.0
4a38d,4a38d_EN-OL-RC-426_2.wav,89.96
4a38d,4a38d_EN-OL-RC-426_1.wav,90.86
4b2g,4b2g_EN-OL-RC-426_1.wav,39.04
5b44c,5b44c_EN-OL-RC-538_2.wav,23.0
5b44c,5b44c_EN-OL-RC-538_1.wav,24.0
4a20k,4a20k_EN-OL-RC-426_2.wav,15.76
4a20k,4a20k_EN-OL-RC-426_1.wav,17.72
4a21k,4a21k_EN-OL-RC-426_1.wav,14.77
4a21k,4a21k_EN-OL-RC-426_2.wav,16.94
5b10a,5b10a_EN-OL-RC-538_1.wav,22.21
3b6b,3b6b_EN-OL-RC-234_1.wav,64.95
3b6b,3b6b_EN-OL-RC-234_2.wav,37.66
4a30f,4a30f_EN-OL-RC-426_2.wav,70.45
5a18k,5a18k_EN-OL-RC-538_1.wav,23.11
5a18k,5a18k_EN-OL-RC-538_2.wav,31.34
5a34k,5a34k_EN-OL-RC-538_2.wav,77.11
5a34k,5a34k_EN-OL-RC-538_1.wav,54.24
4b35b,4b35b_EN-OL-RC-426_1.wav,15.66
4b35b,4b35b_EN-OL-RC-426_2.wav,13.31
4c8a,4c8a_EN-OL-RC-426_2.wav,14.85
4c8a,4c8a_EN-OL-RC-426_1.wav,21.72
5a6a,5a6a_EN-OL-RC-538_2.wav,14.87
4c34b,4c34b_EN-OL-RC-426_1.wav,23.88
5b33k,5b33k_EN-OL-RC-538_1.wav,25.07
5b5f,5b5f_EN-OL-RC-538_2.wav,21.42
5b5f,5b5f_EN-OL-RC-538_1.wav,18.75
5a46k,5a46k_EN-OL-RC-538_1.wav,31.97
5c19c,5c19c_EN-OL-RC-538_2.wav,83.11
4a5f,4a5f_EN-OL-RC-426_1.wav,14.97
3a6c,3a6c_EN-OL-RC-234_2.wav,11.76
3a6c,3a6c_EN-OL-RC-234_1.wav,11.87
5a28a,5a28a_EN-OL-RC-538_2.wav,28.73
5a28a,5a28a_EN-OL-RC-538_1.wav,20.62
5c9a,5c9a_EN-OL-RC-538_2.wav,26.23
3a2g,3a2g_EN-OL-RC-234_2.wav,8.28
3a2g,3a2g_EN-OL-RC-234_1.wav,13.69
5b1c,5b1c_EN-OL-RC-538_1.wav,20.28
5b1c,5b1c_EN-OL-RC-538_2.wav,22.73
3a18g,3a18g_EN-OL-RC-234_1.wav,25.27
3a18g,3a18g_EN-OL-RC-234_2.wav,26.78
5a24k,5a24k_EN-OL-RC-538_1.wav,57.45
4b12f,4b12f_EN-OL-RC-426_2.wav,13.3
4b12f,4b12f_EN-OL-RC-426_1.wav,13.22
3c35g,3c35g_EN-OL-RC-234_1.wav,17.84
3c35g,3c35g_EN-OL-RC-234_2.wav,26.88
4b45f,4b45f_EN-OL-RC-426_2.wav,10.58
4b45f,4b45f_EN-OL-RC-426_1.wav,10.06
3c42a,3c42a_EN-OL-RC-234_1.wav,6.89
4c41g,4c41g_EN-OL-RC-426_2.wav,21.86
4b8k,4b8k_EN-OL-RC-426_1.wav,25.81
4b8k,4b8k_EN-OL-RC-426_2.wav,29.55
5a51c,5a51c_EN-OL-RC-538_1.wav,26.38
5a51c,5a51c_EN-OL-RC-538_2.wav,24.88
5d50c,5d50c_EN-OL-RC-538_1.wav,21.96
5d50c,5d50c_EN-OL-RC-538_2.wav,27.42
4b9f,4b9f_EN-OL-RC-426_2.wav,9.21
5a9j,5a9j_EN-OL-RC-538_1.wav,7.11
3c56g,3c56g_EN-OL-RC-234_1.wav,25.52
3c56g,3c56g_EN-OL-RC-234_2.wav,21.97
4c9a,4c9a_EN-OL-RC-426_2.wav,26.92
4c9a,4c9a_EN-OL-RC-426_1.wav,28.13
4b54f,4b54f_EN-OL-RC-426_1.wav,5.41
5d32g,5d32g_EN-OL-RC-538_1.wav,11.48
5a22a,5a22a_EN-OL-RC-538_1.wav,27.31
5a22a,5a22a_EN-OL-RC-538_2.wav,30.68
3a33g,3a33g_EN-OL-RC-234_1.wav,12.16
3a33g,3a33g_EN-OL-RC-234_2.wav,12.23
5a21g,5a21g_EN-OL-RC-538_1.wav,19.12
5a21g,5a21g_EN-OL-RC-538_2.wav,18.75
4a27j,4a27j_EN-OL-RC-426_2.wav,28.51
4a27j,4a27j_EN-OL-RC-426_1.wav,59.57
3c12b,3c12b_EN-OL-RC-234_2.wav,17.48
3c12b,3c12b_EN-OL-RC-234_1.wav,16.68
5b30f,5b30f_EN-OL-RC-538_2.wav,17.47
5c17g,5c17g_EN-OL-RC-538_2.wav,3.2
5d37g,5d37g_EN-OL-RC-538_1.wav,14.12
4a18g,4a18g_EN-OL-RC-426_1.wav,16.06
4a18g,4a18g_EN-OL-RC-426_2.wav,13.77
4c43b,4c43b_EN-OL-RC-426_1.wav,19.06
4c43b,4c43b_EN-OL-RC-426_2.wav,25.5
3d44g,3d44g_EN-OL-RC-234_1.wav,15.29
4a48a,4a48a_EN-OL-RC-426_1.wav,20.12
4a48a,4a48a_EN-OL-RC-426_2.wav,19.76
4a25c,4a25c_EN-OL-RC-426_1.wav,9.19
4a25c,4a25c_EN-OL-RC-426_2.wav,12.12
4b47c,4b47c_EN-OL-RC-426_1.wav,10.15
4b20f,4b20f_EN-OL-RC-426_1.wav,12.47
4c41b,4c41b_EN-OL-RC-426_2.wav,21.58
3d51g,3d51g_EN-OL-RC-234_1.wav,22.66
5a58j,5a58j_EN-OL-RC-538_2.wav,8.72
5c31g,5c31g_EN-OL-RC-538_1.wav,7.84
3a10g,3a10g_EN-OL-RC-234_2.wav,25.04
3a11c,3a11c_EN-OL-RC-234_1.wav,7.27
3a11c,3a11c_EN-OL-RC-234_2.wav,8.88
3b10b,3b10b_EN-OL-RC-234_2.wav,43.67
4d5c,4d5c_EN-OL-RC-426_1.wav,7.43
3b52f,3b52f_EN-OL-RC-234_1.wav,30.73
3b52f,3b52f_EN-OL-RC-234_2.wav,30.57
3c23a,3c23a_EN-OL-RC-234_2.wav,10.11
5b27k,5b27k_EN-OL-RC-538_2.wav,18.24
5a38b,5a38b_EN-OL-RC-538_2.wav,12.05
3c9g,3c9g_EN-OL-RC-234_1.wav,26.46
4b36k,4b36k_EN-OL-RC-426_2.wav,18.4
4b15k,4b15k_EN-OL-RC-426_1.wav,12.43
4a9g,4a9g_EN-OL-RC-426_1.wav,15.86
4a9g,4a9g_EN-OL-RC-426_2.wav,18.72
3a8a,3a8a_EN-OL-RC-234_2.wav,10.43
4a42c,4a42c_EN-OL-RC-426_1.wav,10.92
5d10c,5d10c_EN-OL-RC-538_1.wav,46.62
5d10c,5d10c_EN-OL-RC-538_2.wav,33.6
4b46f,4b46f_EN-OL-RC-426_2.wav,10.26
4b46f,4b46f_EN-OL-RC-426_1.wav,8.13
4b28b,4b28b_EN-OL-RC-426_1.wav,15.02
4b29c,4b29c_EN-OL-RC-426_1.wav,11.78
5b24k,5b24k_EN-OL-RC-538_2.wav,15.11
5b24k,5b24k_EN-OL-RC-538_1.wav,9.24
3b18a,3b18a_EN-OL-RC-234_1.wav,26.57
4a36k,4a36k_EN-OL-RC-426_1.wav,11.86
3a34k,3a34k_EN-OL-RC-234_2.wav,22.91
3a34k,3a34k_EN-OL-RC-234_1.wav,23.98
5c21c,5c21c_EN-OL-RC-538_1.wav,62.07
5b38g,5b38g_EN-OL-RC-538_2.wav,20.81
5b38g,5b38g_EN-OL-RC-538_1.wav,20.57
3d33c,3d33c_EN-OL-RC-234_1.wav,7.94
4a34f,4a34f_EN-OL-RC-426_2.wav,26.3
4a34f,4a34f_EN-OL-RC-426_1.wav,30.1
5c16c,5c16c_EN-OL-RC-538_1.wav,67.97
5c16c,5c16c_EN-OL-RC-538_2.wav,71.23
4d25g,4d25g_EN-OL-RC-426_1.wav,5.87
4d25g,4d25g_EN-OL-RC-426_2.wav,8.42
5a25j,5a25j_EN-OL-RC-538_1.wav,14.4
4a18b,4a18b_EN-OL-RC-426_2.wav,35.86
4a18b,4a18b_EN-OL-RC-426_1.wav,27.47
4d36c,4d36c_EN-OL-RC-426_1.wav,5.08
3c14c,3c14c_EN-OL-RC-234_1.wav,5.0
5c26a,5c26a_EN-OL-RC-538_2.wav,23.22
3c2c,3c2c_EN-OL-RC-234_2.wav,16.54
4c48g,4c48g_EN-OL-RC-426_2.wav,20.03
3a13c,3a13c_EN-OL-RC-234_2.wav,21.81
3d6c,3d6c_EN-OL-RC-234_1.wav,31.21
3a5b,3a5b_EN-OL-RC-234_2.wav,32.41
3a5b,3a5b_EN-OL-RC-234_1.wav,29.9
5a41b,5a41b_EN-OL-RC-538_1.wav,13.26
5a41b,5a41b_EN-OL-RC-538_2.wav,14.67
5a37k,5a37k_EN-OL-RC-538_2.wav,91.24
3b10f,3b10f_EN-OL-RC-234_2.wav,27.33
3b10f,3b10f_EN-OL-RC-234_1.wav,22.5
5a3d,5a3d_EN-OL-RC-538_1.wav,85.44
4b20g,4b20g_EN-OL-RC-426_2.wav,21.35
4b20g,4b20g_EN-OL-RC-426_1.wav,20.91
3b14g,3b14g_EN-OL-RC-234_1.wav,25.55
3b14g,3b14g_EN-OL-RC-234_2.wav,26.45
4a27k,4a27k_EN-OL-RC-426_2.wav,9.32
4a20c,4a20c_EN-OL-RC-426_1.wav,9.36
5a3c,5a3c_EN-OL-RC-538_2.wav,33.41
5a3c,5a3c_EN-OL-RC-538_1.wav,37.11
3d35g,3d35g_EN-OL-RC-234_2.wav,27.44
4a2c,4a2c_EN-OL-RC-426_2.wav,13.46
4a2c,4a2c_EN-OL-RC-426_1.wav,15.06
4a43g,4a43g_EN-OL-RC-426_2.wav,18.08
4a43g,4a43g_EN-OL-RC-426_1.wav,15.7
3d14g,3d14g_EN-OL-RC-234_2.wav,18.15
3d14g,3d14g_EN-OL-RC-234_1.wav,18.83
4c18g,4c18g_EN-OL-RC-426_1.wav,24.38
4c18g,4c18g_EN-OL-RC-426_2.wav,22.05
3b47a,3b47a_EN-OL-RC-234_1.wav,11.65
3b47a,3b47a_EN-OL-RC-234_2.wav,15.03
4a7j,4a7j_EN-OL-RC-426_2.wav,56.2
4a7j,4a7j_EN-OL-RC-426_1.wav,37.2
3b34a,3b34a_EN-OL-RC-234_2.wav,11.15
4a13g,4a13g_EN-OL-RC-426_2.wav,19.69
4a13g,4a13g_EN-OL-RC-426_1.wav,18.86
3a38f,3a38f_EN-OL-RC-234_1.wav,77.06
3a31f,3a31f_EN-OL-RC-234_2.wav,41.83
3a31f,3a31f_EN-OL-RC-234_1.wav,35.81
5c14g,5c14g_EN-OL-RC-538_1.wav,9.44
3c40b,3c40b_EN-OL-RC-234_2.wav,57.4
3c40b,3c40b_EN-OL-RC-234_1.wav,19.33
3b43b,3b43b_EN-OL-RC-234_1.wav,66.82
3b43b,3b43b_EN-OL-RC-234_2.wav,67.46
3b46g,3b46g_EN-OL-RC-234_1.wav,6.31
3b46g,3b46g_EN-OL-RC-234_2.wav,9.97
5a19j,5a19j_EN-OL-RC-538_1.wav,14.76
3d19c,3d19c_EN-OL-RC-234_2.wav,13.48
3d19c,3d19c_EN-OL-RC-234_1.wav,13.41
3a7f,3a7f_EN-OL-RC-234_2.wav,87.32
3a7f,3a7f_EN-OL-RC-234_1.wav,64.15
5a2a,5a2a_EN-OL-RC-538_1.wav,20.18
5a11k,5a11k_EN-OL-RC-538_2.wav,39.0
5a11k,5a11k_EN-OL-RC-538_1.wav,37.79
4d43g,4d43g_EN-OL-RC-426_2.wav,11.43
4a30a,4a30a_EN-OL-RC-426_2.wav,24.18
3c21g,3c21g_EN-OL-RC-234_1.wav,69.57
4b17f,4b17f_EN-OL-RC-426_1.wav,9.0
3d46g,3d46g_EN-OL-RC-234_1.wav,13.45
3b22b,3b22b_EN-OL-RC-234_2.wav,22.57
3b22b,3b22b_EN-OL-RC-234_1.wav,24.44
3d44c,3d44c_EN-OL-RC-234_2.wav,20.35
4c6b,4c6b_EN-OL-RC-426_1.wav,51.08
5a31c,5a31c_EN-OL-RC-538_2.wav,36.98
5a31c,5a31c_EN-OL-RC-538_1.wav,35.02
5a44j,5a44j_EN-OL-RC-538_2.wav,10.73
5c44b,5c44b_EN-OL-RC-538_2.wav,51.28
3c43a,3c43a_EN-OL-RC-234_1.wav,8.52
3c43a,3c43a_EN-OL-RC-234_2.wav,9.8
4b6f,4b6f_EN-OL-RC-426_2.wav,10.95
4b6f,4b6f_EN-OL-RC-426_1.wav,8.67
4d34g,4d34g_EN-OL-RC-426_2.wav,8.12
5b39c,5b39c_EN-OL-RC-538_1.wav,16.55
5b39c,5b39c_EN-OL-RC-538_2.wav,18.62
4b19b,4b19b_EN-OL-RC-426_1.wav,13.31
4b23k,4b23k_EN-OL-RC-426_2.wav,11.66
5a3a,5a3a_EN-OL-RC-538_1.wav,16.88
5a3a,5a3a_EN-OL-RC-538_2.wav,20.35
3a33c,3a33c_EN-OL-RC-234_2.wav,20.48
3a33c,3a33c_EN-OL-RC-234_1.wav,17.69
3c32b,3c32b_EN-OL-RC-234_2.wav,33.85
5b19b,5b19b_EN-OL-RC-538_2.wav,12.21
3d28c,3d28c_EN-OL-RC-234_2.wav,14.3
3a6k,3a6k_EN-OL-RC-234_2.wav,12.26
4a48b,4a48b_EN-OL-RC-426_2.wav,17.88
4a48b,4a48b_EN-OL-RC-426_1.wav,18.97
4a2g,4a2g_EN-OL-RC-426_2.wav,15.48
4a2g,4a2g_EN-OL-RC-426_1.wav,16.22
5b16g,5b16g_EN-OL-RC-538_1.wav,20.17
3b26c,3b26c_EN-OL-RC-234_2.wav,17.47
3b26c,3b26c_EN-OL-RC-234_1.wav,16.71
5a15j,5a15j_EN-OL-RC-538_1.wav,19.05
5a15j,5a15j_EN-OL-RC-538_2.wav,18.18
3b35a,3b35a_EN-OL-RC-234_2.wav,13.91
3b35a,3b35a_EN-OL-RC-234_1.wav,15.38
5c47c,5c47c_EN-OL-RC-538_2.wav,50.12
5b49f,5b49f_EN-OL-RC-538_1.wav,40.69
5b48g,5b48g_EN-OL-RC-538_2.wav,30.46
4b47f,4b47f_EN-OL-RC-426_2.wav,12.83
4b47f,4b47f_EN-OL-RC-426_1.wav,13.63
3a37f,3a37f_EN-OL-RC-234_1.wav,23.71
3a37f,3a37f_EN-OL-RC-234_2.wav,31.77
3d30c,3d30c_EN-OL-RC-234_1.wav,8.8
4c6g,4c6g_EN-OL-RC-426_1.wav,22.08
